,League,Team,Year_start,Year_end,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC
3,serie a,Juventus,2021,2022,38,20,10,8,57,37,70,60.83,56.26,40.44,34.96,21.3,10.71,11.94,262,203
4,serie a,Lazio,2021,2022,38,18,10,10,77,58,64,59.29,52.44,50.1,45.44,6.99,11.92,15.11,316,217
5,serie a,Roma,2021,2022,38,18,9,11,59,43,63,66.8,59.8,42.05,37.48,22.32,11.13,12.05,292,176
6,serie a,Fiorentina,2021,2022,38,19,5,14,59,51,62,62.04,52.83,45.23,41.35,11.48,10.05,13.64,277,152
7,serie a,Atalanta,2021,2022,38,16,11,11,65,48,59,68.72,64.15,46.6,42.03,22.12,8.43,12.74,391,182
8,serie a,Verona,2021,2022,38,14,11,13,65,59,53,56.39,50.3,52.04,48.87,1.43,8.79,8.58,298,204
9,serie a,Torino,2021,2022,38,13,11,14,46,41,50,53.75,49.19,41.11,32.74,16.45,7.68,11.24,190,178
10,serie a,Sassuolo,2021,2022,38,13,11,14,64,66,50,59.36,54.03,69.96,63.11,-9.08,11.15,10.79,268,340
11,serie a,Udinese,2021,2022,38,11,14,13,61,58,47,57.17,54.13,54.01,48.59,5.54,12.65,7.95,258,256
12,serie a,Bologna,2021,2022,38,12,10,16,44,55,46,45.55,41.75,58.05,51.06,-9.32,10.59,9.23,219,257
13,serie a,Empoli,2021,2022,38,10,11,17,50,70,41,45.52,40.19,74.82,67.21,-27.02,9.72,9.43,235,373
14,serie a,Sampdoria,2021,2022,38,10,6,22,46,63,36,39.09,35.92,62.11,59.06,-23.14,11.18,9.4,218,290
15,serie a,Spezia,2021,2022,38,10,6,22,41,71,36,41.65,37.83,69.55,59.65,-21.82,13.32,8.44,161,347
16,serie a,Salernitana,2021,2022,38,7,10,21,33,78,31,39.49,35.68,71.42,65.33,-29.64,14.57,7.11,175,351
17,serie a,Cagliari,2021,2022,38,6,12,20,34,68,30,40.74,37.7,68.56,60.74,-23.04,11.39,9.13,179,314
18,serie a,Genoa,2021,2022,38,4,16,18,27,60,28,38.53,33.2,60.12,56.32,-23.11,9.52,7.63,178,320
19,serie a,Venezia,2021,2022,38,6,9,23,34,69,27,36.16,32.22,77.36,68.23,-36.01,12.96,8.43,148,385
